#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2022 01 21 15 20  MM 10.0 13.0    MM    MM    MM  MM 1032.6    MM   7.6    MM   MM   MM    MM
2022 01 21 15 10  MM 10.0 13.0    MM    MM    MM  MM 1032.3    MM   7.5    MM   MM   MM    MM
2022 01 21 15 00  MM 10.0 13.0    MM    MM    MM  MM 1032.3    MM   7.6    MM   MM   MM    MM
2022 01 21 14 50  MM 10.0 13.0   1.8     5   4.6  47 1032.4    MM   7.6    MM   MM   MM    MM
2022 01 21 14 40  MM 10.0 14.0   1.8    MM   4.6  47 1032.5    MM   7.6    MM   MM   MM    MM
2022 01 21 14 30  MM 10.0 13.0    MM    MM    MM  MM 1032.2    MM   7.5    MM   MM   MM    MM
2022 01 21 14 20  MM 10.0 13.0    MM    MM    MM  MM 1032.1    MM   7.6    MM   MM   MM    MM
2022 01 21 14 10  MM 11.0 14.0    MM    MM    MM  MM 1031.9    MM   7.5    MM   MM   MM    MM
2022 01 21 14 00  MM 11.0 15.0    MM    MM    MM  MM 1031.7    MM   7.6    MM   MM +1.8    MM
2022 01 21 13 50  MM 11.0 14.0   1.7     6   4.5  64 1031.7    MM   7.6    MM   MM   MM    MM
2022 01 21 13 40  MM 10.0 13.0   1.7    MM   4.5  64 1031.8    MM   7.5    MM   MM   MM    MM
2022 01 21 13 30  MM 10.0 13.0    MM    MM    MM  MM 1031.7    MM   7.5    MM   MM   MM    MM
2022 01 21 13 20  MM 11.0 14.0    MM    MM    MM  MM 1031.6    MM   7.6    MM   MM   MM    MM
2022 01 21 13 10  MM 10.0 13.0    MM    MM    MM  MM 1031.4    MM    MM    MM   MM   MM    MM
2022 01 21 13 00  MM 11.0 13.0    MM    MM    MM  MM 1031.3    MM   7.5    MM   MM   MM    MM
2022 01 21 12 50  MM 10.0 13.0   1.6     6   4.5  60 1031.3    MM   7.5    MM   MM   MM    MM
2022 01 21 12 40  MM 11.0 13.0   1.6    MM   4.5  60 1031.2    MM   7.5    MM   MM   MM    MM
2022 01 21 12 30  MM 10.0 14.0    MM    MM    MM  MM 1030.9    MM   7.5    MM   MM   MM    MM
2022 01 21 12 20  MM 10.0 13.0    MM    MM    MM  MM 1030.9    MM   7.5    MM   MM   MM    MM
2022 01 21 12 10  MM 11.0 13.0    MM    MM    MM  MM 1030.7    MM   7.5    MM   MM   MM    MM
2022 01 21 12 00  MM 10.0 13.0    MM    MM    MM  MM 1030.5    MM   7.5    MM   MM   MM    MM
2022 01 21 11 50  MM 11.0 14.0   1.8     5   4.6  23 1030.4    MM   7.5    MM   MM   MM    MM
2022 01 21 11 40  MM 11.0 14.0   1.8    MM   4.6  23 1030.3    MM   7.5    MM   MM   MM    MM
2022 01 21 11 30  MM 11.0 14.0    MM    MM    MM  MM 1030.2    MM   7.5    MM   MM   MM    MM
2022 01 21 11 20  MM 11.0 15.0    MM    MM    MM  MM 1030.2    MM   7.5    MM   MM   MM    MM
2022 01 21 11 10  MM 11.0 13.0    MM    MM    MM  MM 1030.0    MM   7.5    MM   MM   MM    MM
2022 01 21 11 00  MM 11.0 14.0    MM    MM    MM  MM 1029.9    MM   7.5    MM   MM   MM    MM
2022 01 21 10 50  MM 11.0 14.0   1.7     6   4.6  44 1029.6    MM   7.5    MM   MM   MM    MM
2022 01 21 10 40  MM 11.0 14.0   1.7    MM   4.6  44 1029.4    MM   7.4    MM   MM   MM    MM
2022 01 21 10 30  MM 11.0 13.0    MM    MM    MM  MM 1029.2    MM   7.4    MM   MM   MM    MM
2022 01 21 10 20  MM 12.0 15.0    MM    MM    MM  MM 1029.1    MM   7.4    MM   MM   MM    MM
2022 01 21 10 10  MM 11.0 14.0    MM    MM    MM  MM 1029.1    MM   7.4    MM   MM   MM    MM
2022 01 21 10 00  MM 12.0 15.0    MM    MM    MM  MM 1028.7    MM   7.4    MM   MM   MM    MM
